"","Overall"
"`2__1199831772`",28.0902861995709
"`2__605605196`",5.40110957411748
"`4__1595664867`",21.5573241942518
"`6__1063110017`",11.7022893362405
"`7__367848612`",18.1773136856713
"`4__841884208`",13.0914545191608
"`2__378483150`",17.5874232764727
"`3__1011332135`",12.8816402518173
"`3__1389994652`",24.9327229681236
"`4__1476284576`",11.412915476401
"`6__179536890`",29.7459964839116
"`4__362138418`",23.3592358346837
"`6__218601387`",10.3463144400258
"`4__1595664945`",22.9231133557415
"`4__328789538`",23.5784725478432
"`4__1429610555`",27.1656643574613
"`3__48987838`",18.0689930366899
"`4__1425877017`",100
"`3__1380424468`",41.2852097952862
"`3__1224160302`",0
"`2__1298152508`",22.8288309207387
"`3__1636648399`",11.0579048798673
"`3__1222760053`",14.8295988459074
"`1__400973336`",17.088562807157
"`7__1136876684`",11.5045739856381
"`6__58833289`",13.4495218797203
"`2__1455804795`",12.3733828848746
"`7__1501323856`",22.5001919379994
"`3__431894309`",19.5308323000159
"`7__1403679831`",23.113045383518
"`4__7673813`",10.10821736747
"`2__184869246`",16.2812840207246
"`4__1017121311`",15.0648383333054
"`2__287914230`",15.0923621199055
"`4__495592446`",13.3361242243055
"`4__935775700`",14.2566733864977
"`2__1455805992`",13.8694272631436
"`6__283655305`",11.8836305284408
"`4__1382475276`",13.1389349292274
"`5__1531594007`",23.0381169944168
"`4__1476285552`",11.5897598693712
"`4__1476285728`",18.8331202101081
"`7__16444637`",10.9530788542353
"`6__412123622`",17.5286388988176
"`6__345349020`",91.7464518525164
"`7__1464978781`",26.3853511044352
"`3__397036546`",45.0390151554041
"`2__376309590`",11.8801629303892
"`7__1183593498`",10.912064907772
"`4__7690122`",8.69754121922821
"`6__880314945`",15.9641439858793
"`6__968403729`",20.3053130697101
"`2__383309801`",19.0514558888859
"`4__1370802880`",6.70392946670294
"`4__1370802886`",5.93504204907454
"`4__581137311`",13.7166175358282
"`2__376309733`",13.654476434599
"`4__1435781378`",17.4537030195027
"`3__1666237500`",13.2517949670604
"`6__422010676`",25.4056621270706
"`4__1595664743`",21.3912650874205
"`4__924061960`",15.468340912101
"`1__634539022`",15.2891855950126
"`4__419160559`",14.7959396360419
"`3__1162176054`",16.6848486630596
"`5__1530449937`",30.087913802889
"`2__530612372`",12.4916576146816
"`3__658685563`",19.4659230646004
"`7__1495690317`",22.0282314412231
"`2__1199831775`",13.7609096119807
"`4__987054863`",11.8528229369756
"`7__367866094`",20.2214789056053
"`5__176406284`",13.7437402071315
"`4__920771916`",9.1135432856154
"`4__920771917`",13.8596468037955
"`4__89982166`",7.93878554660249
"`3__1180429398`",20.7923200505031
"`7__1270472387`",14.4820257142648
"`4__349023776`",10.8911825773591
"`4__368979434`",11.3653375840036
"`1__203279354`",6.59103788356855
"`4__1476284337`",11.4729433028286
"`5__977639399`",14.2176758346031
"`7__1372658397`",13.2877118886575
"`4__1476284802`",9.63740428243723
"`7__892359313`",15.6368648609627
"`4__1476285103`",8.80138513534717
"`7__1149660105`",16.4312805681206
"`6__463565335`",18.7992472713933
"`3__173108745`",26.203137776949
"`2__1053128325`",22.9127108096835
"`1__430913919`",7.70235636447341
"`4__88655355`",12.0520317377687
"`7__871294374`",15.1114202214703
"`2__277202013`",13.1141474216813
"`2__1508475579`",26.8016446805699
"`7__871295343`",10.055281547255
"`5__921628310`",17.6932317158966
"`2__530612273`",12.2876961701205
"`6__983839803`",14.6094713787062
"`3__30373274`",12.6554655562613
"`3__30373275`",20.6093079159227
"`1__912232081`",12.2897386499583
"`6__128263726`",14.3499059521974
"`2__587222221`",9.86753351029332
"`5__1304330452`",13.0923099913768
"`2__1050817581`",12.6812277614832
"`2__1050817658`",11.4050180552624
"`2__1050817707`",10.9594553852988
"`7__1445555968`",15.7252158235194
"`4__348985679`",6.2700730764411
"`5__757940068`",13.1745641716629
"`5__1531594058`",11.7070222431283
"`7__307371676`",28.234469953899
"`7__369308229`",55.2157855865046
"`4__1384294911`",36.2683540571301
"`6__748788319`",11.2908267961493
"`4__987054836`",12.4349686585502
"`2__890289097`",13.8629472568568
"`1__1243132540`",20.1471292837389
"`2__349378939`",7.87441124706439
"`4__6366134`",11.6394202094242
"`2__1566480828`",9.51181931224691
"`6__412213093`",14.556048853061
"`3__1558152791`",15.4705977729327
"`3__107532801`",14.9648223925285
"`3__107543289`",14.4373303410753
"`7__478314859`",15.9676973790656
"`2__1733031182`",13.1732347658296
"`1__981026521`",16.6722427042812
"`3__1389994407`",22.7067321063193
