"","Overall"
"`3__1606328278`",9.33434904244802
"`1__90727719`",19.8941616583195
"`3__1400045317`",10.0915544891978
"`3__1400045375`",17.7074166168081
"`7__978174630`",10.5642554915957
"`3__360673477`",15.4261404580645
"`4__605076470`",8.80972048349388
"`4__605088971`",10.105716189151
"`3__711647216`",9.06631592626804
"`3__711647239`",11.3709580624405
"`1__294297292`",20.3993498953896
"`7__1481010549`",11.332267165642
"`1__713592554`",8.80783457389081
"`6__621805295`",9.12028867364466
"`4__1623787130`",8.52578884600267
"`3__844325658`",7.69279532108598
"`3__1569406095`",8.56346418647647
"`5__1644229398`",6.34832530447711
"`7__179943842`",17.1597535125822
"`2__1640579752`",27.4830590482071
"`6__411489833`",10.8053468538177
"`3__1210601123`",5.8599652748099
"`5__1152572412`",8.21128791810233
"`7__1183587046`",10.4847109297273
"`7__1183587093`",7.87279739681415
"`7__1183587099`",7.94258059047894
"`1__712261114`",43.463292394266
"`6__614786291`",14.1353616891521
"`4__500888886`",16.0630092940112
"`6__1074547395`",11.3509376502817
"`6__653927318`",14.983829554944
"`7__179943919`",20.7433874787761
"`7__179943920`",16.8071115551421
"`5__434525606`",13.0537875282957
"`5__434525634`",14.2968031578279
"`3__350560721`",16.5725682991984
"`3__852413684`",8.24805178112359
"`4__326301161`",8.52538961141799
"`7__269121982`",12.083427486953
"`3__114327077`",14.7844263710828
"`2__840183067`",9.75593071806581
"`2__543230099`",9.88922694210109
