"","Overall"
"`3__1579692038`",9.64242100126061
"`5__229896004`",14.3618816591936
"`7__805318287`",11.9750927197514
"`2__882312924`",13.5755023574141
"`1__433427460`",4.29131027149076
"`5__2804164`",9.04501202807088
"`6__766537752`",9.79972469812557
"`1__888953392`",16.714009005646
"`4__891454169`",16.4106637601446
"`4__1384311939`",8.24578824729011
"`3__1177676004`",6.82871951437201
"`4__338118345`",5.21337200154688
"`3__1069491502`",9.87527956980819
"`4__1384311980`",9.70388125053131
"`6__1136213852`",13.1967890174334
"`5__832339046`",25.1822796199995
"`7__135992593`",15.2155799356541
"`3__526608718`",17.8964138315034
"`3__356868305`",4.37146396981667
"`5__1493481253`",0
"`5__1493481251`",11.4964574428078
"`2__1162641289`",7.40281611657587
"`7__1461724355`",30.397282872575
"`1__1190778462`",15.910003044408
"`5__758822857`",9.48026159633236
"`2__359342992`",12.3869425572077
"`1__1327661723`",9.06628751828435
"`4__1508618608`",14.890664134454
"`3__347902539`",13.0465277078765
"`2__1273511262`",10.5418265545398
"`7__225570736`",10.9298216780321
"`7__225570746`",14.4372144900696
"`7__225570772`",14.9471389210928
"`2__337317345`",16.3219261355037
"`2__1168696926`",23.4482441756384
"`5__1622906434`",20.6186072421965
"`3__3929044`",24.299037859182
"`3__531699711`",9.41871509466335
"`6__1079251172`",13.1451592744004
"`1__170004549`",7.75915198784593
"`6__929783390`",11.3049649130701
"`5__1455404648`",21.1016332819458
"`5__434525511`",11.4078506387609
"`5__1101990124`",14.202109005573
"`3__1579692539`",13.8086359580277
"`6__801915001`",17.7743954039689
"`3__1024606757`",20.0141062126526
"`2__217468886`",28.6197189868245
"`1__858597234`",9.36088012401385
"`7__990999278`",9.12921661981146
"`1__1190778529`",5.77936978972494
"`1__862460147`",30.7733626901067
"`2__1576430774`",8.73957719930598
"`5__1547392900`",18.9206396153408
"`5__1208497210`",20.1778628497131
"`7__1307709750`",8.99386816118644
"`3__531699873`",12.0131091444477
"`1__862460024`",29.5265592901262
"`1__862460014`",25.0519011718928
"`6__858978339`",7.62275311185329
"`1__1038731715`",17.3898968912923
"`2__1661999466`",26.1585342199779
"`2__1661999542`",27.2130937379929
"`1__965409935`",9.59879559785993
"`2__1440437365`",9.70562685262056
"`6__1299427796`",13.7454124417847
"`5__217372040`",11.0499689986196
"`7__1023167227`",14.302836283285
"`6__870960180`",15.1595267355842
"`3__531699758`",7.15946255431958
"`6__82825206`",10.9629406631489
"`5__1433577234`",9.3663511823006
"`5__717519070`",6.10558247113879
"`1__701185550`",11.9537151391642
"`7__1184721558`",7.76680604115728
"`3__1613826134`",7.74760635967718
"`6__858976249`",11.3673589840541
"`3__1054619467`",9.22232106168575
"`3__1484961240`",1.93112677693327
"`5__1424108834`",22.5934764257644
"`1__291532095`",11.1053398533126
"`7__1242686326`",9.43246390387153
"`6__890040287`",11.5265903335249
"`2__1576431351`",11.9959577935193
"`2__1173958004`",11.7269200617423
"`7__1506879688`",15.1896287703439
"`2__1661996739`",28.4459592823198
"`4__987054761`",13.228329868075
"`5__1547388621`",15.0152533045542
"`5__619470266`",12.3994366526733
"`2__1168697081`",21.2063127114012
"`1__829529219`",6.68749255236377
"`4__542971816`",6.85349477148855
"`1__1481331050`",6.27394379135627
"`2__1179433236`",2.75253835333959
"`4__1103791564`",9.43559104522489
"`4__81140430`",23.0554739369959
"`6__691726941`",21.7242494758287
"`5__1101990093`",10.1207340878321
"`5__1101990094`",11.0681970960462
"`4__271193083`",5.00134642583545
"`5__158351065`",10.8841341263777
"`7__805318256`",19.6140094247918
"`3__1366618968`",12.7103627146211
"`5__1510881157`",7.93414026279628
"`5__1320809121`",7.01102316590709
"`4__209764934`",5.31290750590583
"`2__208499896`",15.5376338204519
